feature,importance
precip_mean_local,0.7673359884421771
year,0.2039250315138812
precip_mean,0.02228313891904859
precip_rolling_6m,0.0021304370869325846
precip_std_local,0.0010584537264862624
precip_std,0.0007701876063471577
precip_lag1,0.0006431123598283895
precip_rolling_3m,0.0005190679634103808
precip_lag2,0.0005115128901995099
precipitation,0.00022661366697465272
precip_std_anomaly,0.00018572432716147232
precip_anomaly,0.00014351909809766356
quarter,0.00013210033834221596
month,9.980389325367062e-05
extreme_dry,2.155832281459257e-05
extreme_wet,1.3749845044447632e-05
